[2022/02/21 14:22:18] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='cifar_model', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/02/21 14:22:58] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/02/21 15:35:22] - 23 	 151.3 	 	 28.7 	 	 0.1000 	 0.9520 	 0.7261 	 1.4878 	 	 0.4340 	 	 0.9644 	 0.6999 	 1.4607 	 	 0.4529
[2022/02/21 15:38:22] - 24 	 151.3 	 	 28.7 	 	 0.1000 	 0.9469 	 0.7282 	 1.4845 	 	 0.4380 	 	 0.9507 	 0.6976 	 1.4710 	 	 0.4462
[2022/02/21 15:41:22] - 25 	 151.3 	 	 28.7 	 	 0.1000 	 0.9389 	 0.7338 	 1.4790 	 	 0.4382 	 	 0.9466 	 0.7169 	 1.4606 	 	 0.4525
[2022/02/21 15:44:22] - 26 	 151.3 	 	 28.7 	 	 0.1000 	 0.9306 	 0.7335 	 1.4731 	 	 0.4378 	 	 0.9119 	 0.7098 	 1.4478 	 	 0.4609
[2022/02/21 15:47:22] - 27 	 151.3 	 	 28.7 	 	 0.1000 	 0.9250 	 0.7375 	 1.4674 	 	 0.4437 	 	 0.9389 	 0.7151 	 1.4661 	 	 0.4530
[2022/02/21 15:50:22] - 28 	 151.2 	 	 28.7 	 	 0.1000 	 0.9227 	 0.7391 	 1.4674 	 	 0.4435 	 	 0.9524 	 0.6946 	 1.4976 	 	 0.4407
[2022/02/21 15:53:22] - 29 	 151.3 	 	 28.7 	 	 0.1000 	 0.9180 	 0.7397 	 1.4639 	 	 0.4422 	 	 0.9027 	 0.7314 	 1.4327 	 	 0.4646
[2022/02/21 15:56:23] - 30 	 151.3 	 	 28.7 	 	 0.1000 	 0.9130 	 0.7408 	 1.4607 	 	 0.4461 	 	 0.9586 	 0.7057 	 1.4907 	 	 0.4445
[2022/02/21 15:59:23] - 31 	 151.2 	 	 28.7 	 	 0.1000 	 0.9024 	 0.7459 	 1.4506 	 	 0.4488 	 	 0.9312 	 0.7144 	 1.4587 	 	 0.4557
[2022/02/21 16:02:23] - 32 	 151.3 	 	 28.7 	 	 0.1000 	 0.9024 	 0.7469 	 1.4524 	 	 0.4462 	 	 0.9355 	 0.7262 	 1.4512 	 	 0.4635
[2022/02/21 16:05:22] - 33 	 151.2 	 	 28.7 	 	 0.1000 	 0.8965 	 0.7495 	 1.4474 	 	 0.4505 	 	 0.9000 	 0.7128 	 1.4332 	 	 0.4657
[2022/02/21 16:08:23] - 34 	 151.4 	 	 28.7 	 	 0.1000 	 0.8966 	 0.7488 	 1.4488 	 	 0.4505 	 	 0.9256 	 0.7083 	 1.4455 	 	 0.4584
[2022/02/21 16:11:23] - 35 	 151.3 	 	 28.7 	 	 0.1000 	 0.8928 	 0.7489 	 1.4444 	 	 0.4510 	 	 0.9343 	 0.7137 	 1.4918 	 	 0.4350
[2022/02/21 16:14:23] - 36 	 151.3 	 	 28.7 	 	 0.1000 	 0.8936 	 0.7489 	 1.4451 	 	 0.4506 	 	 0.9080 	 0.7248 	 1.4399 	 	 0.4582
[2022/02/21 16:17:23] - 37 	 151.3 	 	 28.7 	 	 0.1000 	 0.8910 	 0.7492 	 1.4428 	 	 0.4509 	 	 0.9093 	 0.7221 	 1.4381 	 	 0.4616
[2022/02/21 16:20:23] - 38 	 151.3 	 	 28.7 	 	 0.1000 	 0.8893 	 0.7531 	 1.4414 	 	 0.4496 	 	 0.9248 	 0.7209 	 1.4543 	 	 0.4631
[2022/02/21 16:23:23] - 39 	 151.3 	 	 28.7 	 	 0.1000 	 0.8889 	 0.7519 	 1.4430 	 	 0.4514 	 	 0.8724 	 0.7427 	 1.4241 	 	 0.4647
[2022/02/21 16:26:23] - 40 	 151.2 	 	 28.7 	 	 0.1000 	 0.8772 	 0.7581 	 1.4328 	 	 0.4544 	 	 0.9367 	 0.6726 	 1.4882 	 	 0.4336
[2022/02/21 16:29:23] - 41 	 151.3 	 	 28.7 	 	 0.1000 	 0.8762 	 0.7577 	 1.4323 	 	 0.4554 	 	 0.9079 	 0.7206 	 1.4482 	 	 0.4598
[2022/02/21 16:32:23] - 42 	 151.3 	 	 28.7 	 	 0.1000 	 0.8769 	 0.7556 	 1.4329 	 	 0.4564 	 	 0.8835 	 0.7467 	 1.4508 	 	 0.4568
[2022/02/21 16:35:23] - 43 	 151.2 	 	 28.7 	 	 0.1000 	 0.8772 	 0.7564 	 1.4321 	 	 0.4555 	 	 0.9068 	 0.7261 	 1.4313 	 	 0.4627
[2022/02/21 16:38:23] - 44 	 151.3 	 	 28.7 	 	 0.1000 	 0.8718 	 0.7604 	 1.4297 	 	 0.4576 	 	 0.8869 	 0.7337 	 1.4203 	 	 0.4754
[2022/02/21 16:41:23] - 45 	 151.3 	 	 28.7 	 	 0.1000 	 0.8726 	 0.7580 	 1.4301 	 	 0.4550 	 	 0.9067 	 0.7401 	 1.4663 	 	 0.4603
[2022/02/21 16:44:23] - 46 	 151.3 	 	 28.7 	 	 0.1000 	 0.8710 	 0.7623 	 1.4305 	 	 0.4548 	 	 0.9167 	 0.7362 	 1.4171 	 	 0.4798
[2022/02/21 16:47:23] - 47 	 151.3 	 	 28.7 	 	 0.1000 	 0.8658 	 0.7630 	 1.4260 	 	 0.4587 	 	 0.9033 	 0.7324 	 1.4398 	 	 0.4545
